Post_id,Comment_id,Text
2897213,2897218,Не хотят полностью в го*не утонуть
2897213,2897220,Просто у него айфон
2897213,2897225,"Ха, интересно, а правда где будут производить технику Эппл если Китай откажется, но мы то знаем, что не откажется, слишком высоки заработки))"
2897213,2897228,"Правильно, а то копировать не с чего будет."
2897213,2897230,Не стоит недооценивать Китай
2897213,2897232,Равно как депутат Валеев против Виктора Гриня смотреть https://bit.ly/2sQSuw4 ))здесь https://bit.ly/2WnijVb )) здесь https://bit.ly/2ZnLBkZ )) и здесь https://youtu.be/WGYahvcuau4
2897213,2897234,"Я все понимаю, но почему-то всем плевать, когда Китай запрещает инстаграмм, Фейсбук, Вотсап, сторонних издателей... А вот когда запретили китайское, то все ноют"
2897213,2897241,Теперь наверняка будет какой-то ответ от США
2897213,2897264,"А еще он видимо, о народе думает который заработок потерят из за санкций."
2897213,2897300,"Все таки ,несмотря на все мнения ""икспердов"", Китай утрется и пойдёт на попятную, даже не из-за хуавея ,а потому что если вдруг торговая война разразится в более крупных масштабах  хуже будет им ,а не американцам, потому что ни одна страна кроме США  в мире в таких объемах не в состоянии закупать китайские товары , а ещё почти все страны не горят желанием попадать под санкции США , грязно американцы играют , но и вина Китая тут есть"
2897213,2897319,Нужно Кука заманить в Гонконг и там съесть (арестовать)
2897213,2897326,
2897213,2897343,умно и мудро
2897213,2897382,Ппц США уроды.. я такого от них не ожидал.. поставили блин ультиматум.((( твари
2897213,2897505,"А жаль,в отместку запретить огрызки было бы неплохо"
2897213,2897599,Какое благородство 😊👏🏻👏🏻👏🏻
2897213,2898679,Маленький китаец с большим сердцем
2881449,2881450,Пытается сесть на два стула сразу
2881449,2881451,
2881449,2881452,"А на Первом канале говорили, что Зеленский наш, как и Трамп😄"
2881449,2881454,Вполне разумно.
2881449,2881455,порошенко 2.0
2881449,2881457,#ЗеленскийНаш попросил у #ТрампНаш
2881449,2881461,Вот кто безумный король! 😃
2881449,2881467,Ну это уже бред.. причем тут агрессор власть и российский народ
2881449,2881474,"В 95 квартале он мне нравился больше, да и в фильме ""Любовь в большом городе"" тоже неплох."
2881449,2881485,"Блч, я вот только что престолы 8.6 смотрел и они были скучнее его инаугурации.

А тут он ещё и новый сезон зптизерил сразу"
2881449,2881486,побежал к папе просить наказания для старшего брата лол
2881449,2881490,"Мальчик решил, что он и в самом деле президент страны ))"
2881449,2881499,Выходит Порошенко все это время врал?
2881449,2881503,"А кто- то думал, что будет иначе?.."
2881449,2881517,Хахаха у русских снова разрыв шаблонов. Надеюсь украинцы и америкосы вас отмымеют. Вы заслуживаете всего самого плохого в этом мире.
2881449,2881518,С этим все .... Давайте следующего .
2881449,2881584,И этот олень туда же. Без шансов просто эту клоунаду закончить.
2881449,2881593,Меркель хоть без яиц заглатывала...
2881449,2881631,Зеленский пытается помочь нам убрать воров у верхушки)
2881449,2881637,хорошо жидва куражится. беня подменит шухевича:) а всякие дурачки из сторонников Яроша и прочие нацики пусть кладут в АТО свои головы
2881449,2881654,"Не надо...
*Плачет, обняв колени*"
2881449,2881707,"Шутник, однако"
2881449,2881770,Против простых людей и своих родных которые тоже там живут. Ах не дружественно это
2881449,2881783,Любой президент Украины. Наш.
2881449,2881895,Тред порванных пуканэйро украинозависимых психопатов либерастоборцев))
2881449,2881926,"Вот и началась российская пропаганда против нового президента Украины! 
А то не дай бог в Украине всё хорошо будет! Тогда кого ненавидеть и про кого новости показывать в Рашке? 😆😬😂"
2881449,2881956,Плешивого и всю его кодлу давно следует задавить
2881449,2882018,"очередной клоун, временный"
2881449,2882033,"Ну вообще-то санкции накладываются на важные лица страны и на компании.
Сыр мы сами себе запретили ввозить"
2881449,2882035,"А что некоторые комментаторы накинулись на ЗЕ? Ведь санкции нам только на пользу и вообще наш царь предложил Западу ввести все санкции разом , так что против линии партии идёте ,товарищи комментаторы !"
2881449,2882149,Ябеда корябеда
2881449,2882470,"Ну началось. Не с того начинаете , сЭр"
2881449,2882930,Зеленский ваще ребята!
2881449,2883588,❤
2872900,2872902,
2872900,2872907,сделают грозный вид и перестанут покупать айфоны? 😏
2872900,2872908,Опять будут бомбить Воронеж?
2872900,2872914,Соловьиным помётом и обольют
2872900,2872923,"Обещать они умеют, это проверенное!!!)))"
2872900,2872927,"будьте милосерднее господа, ну что ОНИ еще могут сказать?)"
2872900,2872928,"Заморозят счета американцов в Сбербанке и отнимут виллы в Норильске,димон выкинет айфон лавров вернёт дочь из США..😆"
2872900,2872940,"""Россия обещает""...Уже можно смеяться..."
2872900,2872946,А чего кадыр рамзанович не заставит их извиниться?
2872900,2872950,Своих не бросают😂
2872900,2872952,"Круто, молодцы, только от этих ответов больше страдает местное население а не те кому эти ответы адресованы, но что такое население по сравнению с имиджем Путина на международной арене."
2872900,2872955,"Запретят въезд в Гадюкино и наложат эмбарго на экспорт репы, не иначе."
2872900,2872958,"Очередная порция скрепных санкций, которые нам только на пользу."
2872900,2872968,"Путин, Кадыров и Золотов - убийцы Немцова"
2872900,2872969,Только не Воронеж! Не надо!
2872900,2872970,Борис Немцов герой России
2872900,2872971,"Томаты 200руб, огурцы 135, до Крыма в Ашане томаты были зимой 100руб"
2872900,2872980,Смешно👍
2872900,2872983,Покажут новый мультфильм🤣
2872900,2873007,При чем тут Арктика?
2872900,2873050,Вроде Воронеж уже разбомблен..  что же они теперь предпримут?!
2872900,2873116,
2872900,2873179,Ответят.ага.голой жопой.
2872900,2873194,"Ответные? Перекроют магистральный газапровод в Воронеже? Или остановят Нововоронежскую АЭС?
А убийца должен сидеть в тюрьме"
2872900,2873266,"Так если санкции это ерунда ( как поёт ящик) так зачем вообще тому же кадырову реагировать на это? Если меня обвиняют в том чего нет, да и еще инструменты давления на меня не действуют ( как поет ящик)- я просто не реагирую на это. Авотесли задевает мои интересы - конечно буду трындеть"
2872900,2873368,
2872900,2873379,Телеграмм разрешили чтоль???
2872900,2874152,Опять против народа что-нибудь придумают.
2872900,2874209,
2872900,2874227,Смешно!! Где сша и где россия?!🤣
2872900,2875380,"Спрос на Справедливость и Правосудие как никогда актуальны. 
Прекрасно понимаю ситуацию. Я работал судьей. В 2017 голу в мою квартиру ворвались неизвестные мне лица, избили, сломали ребра, полиция сработала заодно с нападавшими. В итоге их осудили для вида, а меня заставили уволиться. Никто никакой ответственности по факту не понес. А в связи с тем, что я пытаюсь восстановить свои права, мои показания в части того, что нападавшие избивали группой, угрожали убийством признал суд ложными. Так руководство облсуда защищает себя. Не гнушаются совестью! В России нет независимости, неприкосновенности и несменяемости судей. Четыре раза был личном Приеме в Приемной Президента РФ. Итог моей борьбы за Справедливость такой, что сейчас в отношении меня как потерпевшего от преступлений и злоупотребления властью, хотят возбудить дело. Обратился в Европейский Суд по правам человека. В России добиться справедливости пока не получилось"
2871818,2871823,"Равенство и коммунизм. 
Что поделаешь😁
Пускай воробьев стреляют и жрут, как это делали в коммунистическом Китае при Мао."
2871818,2871825,"Наверно, применительно к засухе лучше использовать слово ""сильнейшая"". Потому что лучших засух не бывает)"
2871818,2871826,"Власти **** винят во всем запад, пытаясь снять ответственность за происходящее к себя.
Ммм. Подходит не только к КНДР"
2871818,2871830,"Пф. Действительно, какие безответственные, спихивают ситуацию в стране на какую-то полную экономическую блокаду страны!"
2871818,2871835,"На Гаити же делают печенье из грязи и соли.
Чем корейцы хуже?
Грязь закончилась?"
2871818,2871843,Россия с радостью отправит им гуманитарную помощь
2871818,2871848,
2871818,2871849,
2871818,2871851,
2871818,2871858,"Северную Корею ненавидеть почти весь мир, потому что это маленькая страна отказалась входить в систему ""золотой миллиард"".
Не захотели быть порабощенными капиталистами где пропагандируются обман и ненависть к простым жителям Земли.
Скажу одно, это их право, к ним отношусь нейтрально."
2871818,2871867,"О, ещё одни наши ""братишки "" по разуму ,  вели бы себя их правители нормально и цивилизованно, может давно бы Южная Корея взяла бы и помогла бы построить работающую систему  , а эти ракетами машут , ну конечно в голоде виноваты будут корейцы,японцы и их главные союзники США , бездарная и трусливая династия Ынов тут не причём"
2871818,2871870,Рыба в Японском море тоже перевелась от засухи ? Кстати у друзей на Кубе тоже какие то проблемы с продовольствием .Жителей призывают не паниковать и не кончать коров без высочайшего соизволения ..
2871818,2871928,"Такие смешные комментаторы некоторые ,мол Северная Корея не прогнулась , ну это ж прекрасно раз не прогнулась , раз они такие независимые и свободные то пусть голодают и не просят гумпомощи у США и ООН , за свободу и независимость надо бы платить"
2871818,2871932,"А в Южной Корее, что, засухи нет? Она на нейтральной территории заканчивается?"
2871818,2871998,Путин поможет.
2871818,2872004,"Интересно тамошние терпилы все также стерпят или россияне снова будут с завистью смотреть на то, как торжествует свобода?"
2871818,2872032,в россии уже начался.
2871818,2872043,"Ну блин, засуха - такое дело, надо помочь, у всех такое может быть. Никто не застрахован от такого."
2871818,2872074,Выход есть. Раздать им российские паспорта.
2871818,2872092,"Ядерная сверхдержава зато, спутники вкосмос запускает"
2871818,2872097,Даже природа ненавидит эту страну . ОДУМОЙТИС!!!!
2871818,2872103,Китай и Россия помогут.
2871818,2872109,"За что боролись, на то и напоролись."
2871818,2872127,"Будут ли поставлять ГМО-шную траву, обогащённую белками?"
2871818,2872128,Опять жратву просить начнут
2871818,2872136,"Бедная страна, ее люди..."
2871818,2872264,"Ну это как если бы зэк винил государство что его посадили и он страдает 😄
По хорошему еще сильнее надо гаечки им там завинтить, ибо это по сути шантаж заложниками.
Конечно, развитые страны не пойдут на усиление санкций по гуманитарным соображениям, а иначе, они бы не были развитыми и ничем бы не отличались от этого социалистического хлева."
2871818,2872267,"Пусть толстый вошдь начнет выпускать тогда людей из страны, какие проблемы, или людей там за колючкой в заложниках держит тоже ООН?)"
2871818,2872271,"Целая страна по сути концлагерь, а некоторые борцуны с фошизмусом самой духовной стране во вселенной, говорят - ""это хорошо!"" 😄
В КНДР говорят, классно и правильно, а в Украине - фошизм и ужас, во как! 
Смотри не перепутай!)"
2871818,2872322,Вот оно западное лицемерие. Они готовы убить миллионы и потом сказать что это демократия.
2871818,2872327,Смысл санкций всегда был в том чтобы навредить простым жителям.
2871818,2872523,"Ну, готовьтесь раскошеливаться ещё и корейцам на гум. помощь!"
2871818,2872879,А мне жалко узкоглазеньких . Хуже нет когда кушать нечего.
2871818,2873557,В нормальных странах люди имеют выбор куда поехать жить или отдыхать.. а в донной северной корее и ссср не отпускают. Потому что все разбегутся из чудесной страны.
2870619,2870626,"Ещё осталось трубу утопить в Балтике и пуканы начнут обогрев такой, что и газа не нужно будет."
2870619,2870632,Вот это санкции.. вот это да.. ну теперь взвоет псиное племя.😂😂😂🤣💪🏻💪🏻
2870619,2870635,Соколовского
2870619,2870638,Я как понимаю деньги заныканные верхушкой России американцы решили не трогать..
2870619,2870639,а руслан против сша в вел
2870619,2870656,"Какого черта они вообще лезут в этот вопрос?

Было бы очень странно если бы Германия начала вводить санкции против США из-за того что творится в Гуантанамо"
2870619,2870657,"Все это цирк, и сто стороны США тоже.  Вводят санкции против людей, которые не имеют никаких активов в США, и вообще не планируют когда-либо побывать в Америке. Но при этом никаких санкций против чиновников, у которых там целые семьи со счетами, недвижимостью и пр."
2870619,2870658,"[id393378508|Анжелика Коссиева], какая хорошая новость про твоего папашу-упыря! Ещё приятнее будет, когда Сергея Коссиева посадят. Как там суд продвигается?"
2870619,2870673,как жить теперь?
2870619,2870688,"один воспрос: а что, сих пор эти отморози были не под санкциями???? то есть вэлкам руслан батькович, заказчик немцова в сша, что ли? вот прям до сегодняшнего дня?"
2870619,2870719,😌
2870619,2870726,"Спасибо что хоть США преследуют этих преступных чеченских крыс.убивших политика Бориса Немцова.В Путинской России все эти Геремеевы, Кадыровы,Даудовы у которых руки в крови по локть людской,на совести которых невинно осужденные старики типа Аюба Титиева -благоденствуют и чувствуют себя царьками и неприкасаемыми..Хочется верить .что при жизни и Геремеев и Кадыров и даудов и десятки други преступныхк крыс ответят за свои преступления перед людьми и богом.Дай бог что бы Аюб Титиев вышел живым из чеченских застенок,что бы больше кадыров и Даудов не убивали граждан россии выдавая их то за геев то за террористов,но история говорит о том что безнаказанность и безответственность порождает только новые преступления"
2866629,2866630,"Они сами себя бомбят, цена растёт на нефть и соответственно они больше бабок рубят"
2866629,2866631,давно уже пора сравнять с землёй этот рассадник терроризма
2866629,2866633,Путин начнет войну?
2866629,2866636,Наконец - то хоть кто - то пытается вырваться из - под власти США...
2866629,2866638,Хорошо чтобы Запад все исламские страны уничтожил. Они не нужны.
2866629,2866639,"Нанесут ракетный удар по инфрастуктуре КСИР , а потом начнутся переговоры о разоружении , большой войны с наземной операцией как в Ираке ,скоре всего не будет.Экономика Ирана очень плоха и на войну ресурсов у нее скорее всего уже нет"
2866629,2866640,"Чет как-то это все мутно. Возобновление санкций, потом предупреждение о нападении, потом само нападение. Но пугает скорее другое, что сейчас внезапно солнцеликий решит что Иран надо выручать. И так в полной жопе живем, а тут вообще все медным тазом накроется."
2866629,2866647,Нашим выгодна заваруха на бв.  Ценник на нефть вырастет.
2866629,2866648,"Похоже, новая колда не за горами"
2866629,2866649,"Трамп узнал, что кроме Китая и Кореи есть другие страны? Надо парочку из них срочно разбомбить, а то он так много названий в голове не удержит"
2866629,2866651,Штаты только ухудшают ситуацию вводя свои войска в Персидский залив. Договариваться и мирно решать конфликты это точно не про них.
2866629,2866675,">Хочешь обеспечить себя ядерной энергией
>Заодно и ядерную бомбу сделать, чтоб спокойнее жилось
>Неожиданно появляются террористы, атакующие нефтяников из ОАЭ
>США считает что они твои и угрожает начать войну

Что то мне подсказывает, что эти террористы волшебным образом исчезнут, если Иран свернёт программу."
2866629,2866676,"О да, вышки Саудовской Аравии подверглись атаке предположительно со стороны Ирана. Куда же без амеров😂"
2866629,2866684,"Егор, крепостничество тут при чём. Вот ты боишься потому что живёшь в феодально-крепостной стране, а я - в свободной. Могу писать всё что захочу."
2866629,2866685,"Радуют дегенераты, пытающиеся острить про Трампа и Штаты.
Что, умники, хотите исламскую страну с ядеркой? А не напомнить вам с какой скоростью там меняются режимы, нэ? И какова вероятность прихода к власти очередных ""халифов"", любящих делать бабах?
Можно сколько угодно не любить методы Штатов, но кроме них сейчас роль мирового жандарма выполнять физически некому."
2866629,2866751,"Новость про Иран и США, давайте приплетём Россию и Пыню. Классика."
2866629,2866759,это правильно
2866629,2866768,"Амеры конечно настолько тупо и бесхитростно постоянно имитируют casus belli, что кроме хохота это уже давно ничего не вызывает, и палит их с потрохами.Другое дело, что пока нет силы, указать им на их ошибки, и усмирить их возможностью адекватного силового ответа."
2866629,2866826,"Как во Вьетнаме, сами себя обстреляли и начали войну."
2866629,2866879,"Асада, который убил уже миллион, мы не трогаем. А Иран - противник старый, знакомый, удобный. Свой."
2866629,2866941,"Слов нет, одни многоточия. Мало США Венесуэлы и Сирии, теперь и очередь Ирана настала. Нашли выдуманный повод и опять посыпались угрозы."
2866257,2866269,
2866257,2866274,Это Зеленский просто шутит
2866257,2866276,"Ввоз газа отмените, канальи"
2866257,2866279,"Ну все, теперь точно загнёмся"
2866257,2866287,
2866257,2866291,Может им начать с себя?
2866257,2866299,
2866257,2866303,У них европейское государство с советским менталитетом. Пусть разруливают...
2866257,2866309,очень славно
2866257,2866316,"Я устал от этих санкций в новостях, пусть уже введут друг на друга эмбарго"
2866257,2866335,👎
2866257,2866352,А слабо запретить ввоз оружия и запчастей?
2866257,2866365,
2866257,2866366,Четырьмя словами: запретили ввоз российского говна)
2866257,2866380,"4 мая 1626 года индейцы продали голландским колониалистам остров Манхэттен за пуговицы, бусы и прочую бижутерию, на общую сумму 24 доллара. Эта сделка считалась самой невыгодной в истории, вплоть до 11 декабря 2013 года, когда помощник госсекретаря США Виктория Нуланд приобрела у туземцев территорию Украины в обмен на пакетик с печеньями, булочками и хлебом"
2866257,2866501,"Тут надо искать связь не с политикой, а с олигархами."
2866257,2866556,"Ой, да н@ср@ть, удачи Украине и её гражданам , но я категорически не хочу слышать про них больше ничего , достало , давайте к своим баранам ,то есть проблемам"
2866257,2866561,"Ну конечно, у Украины ведь и так хорошо развито сельское хозяйство, да?) Потом опять плакать будут)"
2866257,2866579,И мы будем убытки терпеть и они - два нищеброда топят друг друга..
2866257,2866618,"Видимо по группам товаров на ,которые Украина вводит санкции на импорт из РФ есть или  свои ресурсы  или импорт из других стран.Реверс газа же делали,да и Беларусь сосед - мигом соориентируются .российский цемент станет беларусским🙂"
2866257,2866654,"Ой, ой. Испугались. Не впервой. Найдут наши производители куда продать свой товар, мир большой. А вот потом, чтобы украинцы не пожалели о нынешних санкциях."
2866257,2866689,
2866257,2867037,"Они ещё от прошлых не оправились, ещё одни вводят?) На что жить собираются, в стране ни одного нового производства!"
2865544,2865557,первая холодная мировая война
2865544,2865567,Кажется Путин специально северный поток прокладывает - что бы перессорить американцев со всеми потенциальными партнёрами и у него это успешно получается:))
2865544,2865613,"Вся правда об оппозиции,  100% попадание в суть либерды- сериал ""спящие"""
2865544,2865636,"Молодцы, америкосы. Только медленно и вяло, ящетаю."
2865544,2865708,"Очень швейцарским компаниям нужны активы в Америке.
А вообще скоро от нас откажутся все, и будет северный поток-3 из Владивостока на какие-нибудь бесполезные острова"
2865544,2865722,"[id146185343|Дмитрий], а деньги за этот газ лет на 20 вперед сопрет мелкий клептоман из питерской мэрии и его дружок виолончелист."
2865544,2865746,Ахах ой бл.я
2865544,2865956,"Сказочные америкосы, сказочные демократы"
2865544,2866153,Ну ониж обещали🤔
2865544,2866468,Вмешательста в дела европы? Не смешите мои макдональдсы!
2865544,2866627,Так этож только на пользу
2865544,2866666,"Давно пора, а то Меркель совсем много стала спускать Плешивому..."
2865544,2867870,Д - демократия
2852693,2852695,А толку от этого признания? Пытя не прогибаеться) у него походу лом вместо хребта. Так и сляжет в могилу ровно. А пока терпите. Все)
2852693,2852696,Закон о гражданстве любой страны сувереннен и не требует согласования с иными странами.
2852693,2852698,Да тьфу на вас!
2852693,2852704,Что скажет сказочный паспортист...
2852693,2852707,"Ну и зачем? Что, жить с дырявым паспортом? Отвоюйте обратно территории и будет норм. Очевидно, что люди хотят уже какое-то гражданство получить и свалить оттуда"
2852693,2852710,
2852693,2852711,"Если США начали раздавать свои паспортам в крупном Российском городе, 95% жителей выстроились бы в очередь)))) 
А сказочный бы завопил, что это гибридная атака на независимость России)))"
2852693,2852712,Послать на 3 буквы украинское правительство😡
2852693,2852715,"Санкции для миллиардеров, а платят простые люди"
2852693,2852719,"Пять лет назад надо было сделать это, раздавать русским российские паспорта, но лучше сейчас, чем никогда. 
То, что Украина на нет исходит по этому вопросу - ну это показательно. Население страны на 1991 год было в районе 52 млн человек, затем к 2014 году упало до 44 млн. 
Потом Крым воссоединился с Россией, -2 млн человек, Донбасс решил вернуться в Россию, ещё -3.7 млн человек. Итого 38-39 млн жителей. 
Кроме того за последние пять лет очень много граждан Украины покинуло страну, уехали либо в ЕС, либо в Россию. 
Население Украины сейчас в районе 35-37 млн человек. Возможно даже меньше.

Кстати, явка в % и число проголосовавших на последних выборах вна Украине показательно. В 2004 году в 1 туре президентских выборах при явке в 77% пришло 28 млн человек голосовать. В 2019 году при явке в 1 туре в 63% пришло 19 млн. То есть в 2004 году было 36.36 млн человек с правом голоса, а в 2019 всего лишь 30 млн. Так что убыль населения, фактически отсутствие Крыма, части Донбасса и естественная убыль населения прямо сказались."
2852693,2852722,"Не понимаю че они бесятся, там же не просто так выдают, условия определенные есть,  такие как вид на жительство в РФ,  просто упростили получение,  и сроки рассмотрения сократили
Граждане Казахстана и Белоруссии тоже упрощенно получают гражданство РФ
Я понимаю если бы просто так раздавали паспорта"
2852693,2852732,"Ага, ждём пока признают незаконными паспорта, которые раздает Венгрия. Уже полгода ждём."
2852693,2852734,"ну да, ну да. Паспорта любой суверенной страны действительны только после согласования с Украиной, великой и могучей мировой державой. Гегемоном всея земли, можно сказать."
2852693,2852749,"В каментах украинозависимые пенсионеры с деменцией, ,,вставшие на борьбу,, за Россиюшку."
2852693,2852772,"Пока нормальные лидеры благоустраивают свои страны, ботоксный фигнёй страдает"
2852693,2852808,"Нельзя признать недействительным паспорт другой страны. Можно не принимать его как документ, подтверждающий личность, но действительный паспорт или нет может признать только страна, которая его выдала."
2852693,2852951,"Кек коменты огонь конечно 
Когда Россия предлагает своё гражданство, по сути говоря, лезит во внутренне дела другой страны 
Если бы Германия предложила Россиянам свои паспорта, наши бы тоже агрились 
Здесь тоже самое"
2852693,2852986,"Да когда ж гражданам РФ предложат - или США, или страны Западной Европы - свои паспорта. (Хотелось бы, конечно, без серьезного поражения в правах)."
2852693,2853095,Бандеровцам смерть!
2852693,2853186,"Ваши заморочки с паспортами интересны только Украине с Россией. А для Австрии и Германии вообще не интересны, поэтому решайте все между собой."
2852693,2853322,В таком случае Украина не сможет лишить жителей ЛДНР украинского гражданства на основании закона о о запрете двойного гражданства.
2852693,2853517,"Не одобряю любые методы плешивого, но Россия имеет право давать паспорта кому угодно, какие проблемы?"
2852693,2854755,Мир славянам!
2852693,2854875,Что там в ответ Украина выдаёт паспорта Россиянам или Зеленский балабол? Я бы получил Украинский пасспорт в предстоящей войне это будет важно
2852669,2852678,Все что нужно знать об Иране. Как только захотят они начнут собирать ЯО.
2852669,2852681,Скотина Трамп добился своего. Жаль.
2852669,2852700,"ну и хорошо, острота конфликта вокруг Ирана = фактор неуверенности на рынке нефти = поддержка цен на нефть, благодарность Трампу
а вот за стоп с договорённостями по Китаю порицание, торговая война США-Китай уверенности в китайском потреблении нефти не добавляет"
2852669,2852703,"Если даже они его сейчас начнут производить, воевать и принуждать к миру никто не будет. И в итоге мы получим исламскую теократию с ядерной дубинкой, которую уж они-то точно захотят применить."
2852669,2852813,"Иран-Иран, как можно так бездарно спалиться. Не могли под землёй глубоко бункер построить, чёб американцы не видели"
2852669,2853087,"какого ... нефть 70 баксов?
это же катастрофа для россии"
2838957,2838958,"""Тут нет ничего плохого, потому что это по закону""
То есть, нам теперь не говорить о посадках за митинги, мемы, высказывания? Тоже ведь ""по закону""

Логика во всей красе 🤦‍♂"
2838957,2838959,Агент влияния кремля
2838957,2838960,"Не взятка
Е

В
З
Я
Т
К
А"
2838957,2838962,"Блумберг ведь никогда не врёт, правда же?"
2838957,2838967,"Люди работают, кек."
2838957,2838977,"В правиельстве клинических идиотов нашли самого
глупого министра,Терезка сегодня его уволила"
2838957,2838979,Что мешает америкосам ввести санкции повторно? Ничего ахаха
2838957,2838982,"Люблю Медузу, если подобное в России, то коррупция... если в Британии, то ""достойная оплата достойного труда"".😂😂🤣🤣💪🏻💪🏻"
