Post_id,Comment_id,Label,Text
9912711,9912727,sexist,"более унизительное слово, чем авторка, вообще представить сложно"
9912711,9912728,non_sexist,Давайте переименуем теперь паблос в Лентачку
9912711,9912733,non_sexist,Уже жду извинений от Лентача за эту статью😂
9912711,9912735,non_sexist,"- Равноправие полов
- Женская власть
эмм..."
9912711,9912736,sexist,"Мда, маразм крепчает. Щас ещё угождать всем надо. Вот она, свобода мнений."
9912711,9912737,sexist,"Лентач подорвался, потому что там недостаточно женского состава"
9912711,9912739,sexist,Фемки сасатб три четыре пять
9912711,9912744,non_sexist,"Становитесь геями, пацаны, и никто вас трогать не будет, а если что, то и сами пожалуетесь на кого-нибудь"
9912711,9912745,sexist,лентач и ты прогнулся под эти отбросы общества ? пускай идут в концлагеря со своим феминизмом !
9912711,9912748,sexist_in_co,Когда там уже на марс без всего этого идиотизма?!
9912711,9912750,sexist,давно уже пора разделение на женские и мужские туалеты отменить. а то что это за сексизм паимаешь! 😡
9912711,9912751,non_sexist,Пост как извинение за ту пикчу ?:)
9912711,9912753,sexist,"Как не подаваться на сексизме?
Увольте тупых фемок"
9912711,9912754,sexist,Кого-кого вы там попросили? Авторку?
9912711,9912756,sexist,"это п*здос, сказываемся в строй отсталого запада"
9912711,9912758,sexist_in_co,"Этот пост оскорбляет чувства честных молей, извиняйтесь"
9912711,9912760,sexist,"Общеизвестный факт 1488: если цвет твоих волос содержится в радуге, авторитетность твоего мнения умножается на ноль"
9912711,9912763,non_sexist,Раз два три четыре пятт
9912711,9912764,sexist,"Авторку? Дак в наше время это нормально - склонять ""профессии"" и т.п. слова в женский род или шо? Я какбэ не против, просто хотелось бы понять, давно ли это происходит и почему"
9912711,9912765,sexist,"И как сегодня вести корпоративные соцсети, чтобы не подорваться на сексизме 
Вести их от лица трансгендера. Даже жирухи не посмеют тронуть трапов."
9912711,9912766,sexist,"В топку баб, с их е6...м сексизмом."
9912711,9912767,sexist,сейчас бы у них мнение спрашивать. Они не заслуживают слова
9912711,9912768,sexist,Вы че творите? Какая авторка еще? Эх лентач
9912711,9912771,sexist,"Авторка, юристка, гинекологиня.... Неужели женщин этих профессий на самом деле не унижают такие названия? 🤷‍♀️"
9912711,9912773,sexist,"бичихи без чувства юмора, воспринимающие всё на свой счет... такие жалкие шопздц"
9912711,9912774,non_sexist,Оцените ваше умение прогибаться по шкале от 1 до Лентача.
9912711,9912775,non_sexist,авторкавское кино давно не смотрел
9912711,9912780,sexist_in_co,что за леволиберальный бред? я имею право на частную дискриминацию.
9912711,9912781,non_sexist,"Авторку? Лентач, вы там в хлам ебанулись что ли?"
9912711,9912786,non_sexist,"чТО за ""авторка"" ? в русском язык нет такого слова!!!!!!!!!!!!!!!"
9912711,9912789,non_sexist,"Ток пусть тронут япошек, и я из них харакири сделаю!!!"
9912711,9912792,sexist,"Это профемский пост, бегите глупцы!!!"
9912711,9912794,non_sexist,"Ставь никсельпиксель, если делаешь кровавую мэри в менструальной чаше💪"
9912711,9912796,sexist_in_co,"Лентач ты пал в моих глазах, пойду отмотаю туалетную бумагу"
9912711,9912797,non_sexist,">авторку
Чот я запутался, где Лентач, а где Настоящий лентач. Тут же вроде не Шеин?.."
9912711,9912799,sexist_in_co,"Что за х***ю я только что не дочитал? Лентач АЛЛО, и вы туда же??"
9912711,9912801,non_sexist,Орнул с авторки
9912711,9912803,sexist,"Пока читал, чуть не стошнило. Всё вырвано из контекста. При желании можно любую рекламу из женских журналов сюда приплести. Нормальный мужчина всегда уважает женщину, а нормальная женщина всегда достаточно мудра, чтобы не заниматься тем, чем занимается автор статьи. Всем привет из Сочи :)"
9912711,9912805,sexist,"Бабам смотрю дох...я власти дали в последнее время, совсем оборзели. Теперь я понимаю почему на востоке их держат вторым сортом."
9912711,9912808,non_sexist,"Нет такого слова, как ""авторка"""
9912711,9912811,sexist_in_co,"Я эту муть даже не читал , говно какое-то"
9912711,9912812,sexist,"Убейте, пожалуйста, человека, который придумал слово ""авторка"". 
Блин, стирка, дырка в белье, парка, варка, жарка, авторка или какие еще бывают женские занятия..."
9912711,9912813,non_sexist,Классика рас два три четыре
9912711,9912814,non_sexist,"Авторку?
Пошел ты нахер, лентач"
9912711,9912821,non_sexist,Вы еще верите в швабодку слова? Цензоршип и его авторы тупо меняются с каждой эпохой. Наслаждайтесь
9912711,9912822,sexist,"Даже читать не нужно, чтоб понять, как бедную фемку задевает всё на свете."
9912711,9912824,sexist,"Вот сразу видно что феминисток в детстве не бил отец, слишком много себе позволяют, думают они умные как мужики это все от недотраха, страшные бабы с маленькими сиськами в стремных шмотках. P.S. Это был достаточно сексистский комментарий?"
9912711,9912825,non_sexist,"Лентач, а где собсна сама новость про икею?"
9912711,9912826,sexist_in_co,Ну теперь то можно смело отписываться. Хорошо что есть Олд лентач
9912711,9912827,non_sexist,"Нахрена я на лингвиста учился...авторка, ептить🌝"
9912711,9912828,non_sexist,"+100 , гыы , суко аффтар жжошь"
9912711,9912831,sexist_in_co,Лентач ерундой страдает вместе с авторками)
9912711,9912833,sexist,"Авторка, врачинесса, космонавтгиня 🤣
>Орут за равноправие
>Изменяют слова мужского рода на несуществующий женский
_
Блин, а ведь есть реальные феминистки, которые борются за права и несправедливость. Только их процент так мал, что они просто растворяются в пучине этих очередных ""авторок"")))
_
Если все люди равны, почему феминистки не борются за права женщин в Афганистане и Пакистане?) пакистанки не люди что ли? 😢"
9912711,9912835,sexist,"Никак, им всегда будет мало и они обязательно найдут за что предъявить по матчасти в следующий раз , и чем больше ты будешь прогибаться, тем больше они будут требовать удалять ""оскорбительные посты""."
9912711,9912838,sexist,">Какие женщины сидят в Твиттере и Фейсбуке? Явно, что максимально продвинутые и умные.
АХАХАХАХАХАХАХАХАХАХАХАХ
TL DR автор\ка поехавшая и натягивает сову на глобус считая ""сильных и независимых"" ЦА вообще любого паблика."
9912711,9912840,sexist_in_co,еще один такой пост и минус один подписчик
9912711,9912842,sexist,"Авторку на кавказе, по-ходу, притесняют, вот она и показывает свою активную гражданскую позицию."
9912711,9912844,non_sexist,"прищимлёнышам-кукусикам запрещают женщин оскорблять, проклятые фемепиздки, как бесчеловечно, кококо, куйчишки же свернутся от абиды на злых бабищ!!!"
9912711,9912845,sexist_in_co,"прогнуться под фемок = отписка. Настоящий лентач, привет"
9912711,9912846,non_sexist,"Хорошая статья. 
Женщины не слабый пол, слабый пол- это гнилые доски. Избитая фраза, но менее правдивой она от этого не стала."
9912711,9912848,sexist,"Собственно, зачем феминисткам вообще нужны мужья? Чтобы поучать их как правильно общаться с высшим человеком?"
9912711,9912852,non_sexist,"Заходи, зай) Я хоть и не сексист, но жду)"
9912711,9912854,sexist_in_co,"Ихний и афторка, продолжаем марофон. (ботокайф)"
9912711,9912855,sexist_in_co,Это постирония такая над фемками? Или все правда очень плохо?
9912711,9912856,non_sexist,"Ну, хз, видела я в бородатом году билборды со слоганом «Застрахуй немку» от Альфа страхования вроде. И немкой там была не новенькая бмв, а такая грудастая блондинка в баварском костюме. Имеет место сексизм в рекламе и нормально жаловаться на это в ФАС, в не на форумах. Хотя вроде и так реагируют"
9912711,9912862,sexist,Тупые фемки вы никто тупа сосатб😎
9912711,9912865,sexist,"Чет я такого, только от лиц мужчин не видел. Хотя щас женщины как угодно пытаются подсолить всем."
9912711,9912867,sexist,"Рад фемки совсем конечно охрени, требуют чтобы их с домашними животными не сравнивали, словно домострой с библией не читали. А ты лентач, зря прогнулся, сначала слуцкий, теперь это. Вы ещё за харасмент начните увольнять."
9912711,9912869,sexist,"Слава богу , что у меня есть мозг, и я мужчина и не должен читать этот высер неудовлетворённой  «сильной и независимой». Покажите ей где кухня плиз"
9912711,9912870,sexist,"Авторесса крайне неадекватна, и для этого даже статью читать не пришлось. Фемтач, прекращай болеть :с"
9912711,9912871,non_sexist,"Никаких полезных доводов в статье нет. Автор просто пригорел...
И да большинство тех женщин кто сидит в вк и фейсбуке далеко не умненькие и не успешные, сори
Ни статистики ни пруфов.
А впрочем некоторые посты реально не толлерантные, но ничем не хуже техже постов про""тупых качков"", ""вейперов"" и т д. Так что нечего ставить  себя выше других, про всех есть и хорошие и не очень посты"
9912711,9912872,non_sexist,Остановитесь! У меня попкорн уже кончается!
9912711,9912874,non_sexist,"Лентач там вообще скаколдился? 
КТО ОТВЕТИТ ЗА ОСКОРБЛЕНИЕ РУССКОГО ЯЗЫКА?"
9912711,9912876,non_sexist,Автора в костёр
9912711,9912877,sexist,">Sony выпустили еще один пост, где снова обыгрывается старый мохнатый стереотип, что «легкомысленную бабу» надо долго ждать, пока она одевается. 
А если под кто-то воспринимается гей-партнер, например? Получается ли это, что автор_ка гей_ненавистница, и ее можно осудить? Сколько авторе_ссе и как часто ее били в детстве?"
9912711,9912878,non_sexist,я хочу плакать от отсталости комментаторов тут
